,fips
0,1001.0
1,1003.0
2,1004.9999999999964
3,1007.0
4,1009.0
5,1011.0
6,1012.9999999999964
7,1015.0
8,1017.0
9,1019.0
10,1020.9999999999964
11,1023.0
12,1025.0
13,1029.0000000000036
14,1033.0
15,1037.0000000000036
16,1041.0
17,1043.0
18,1045.0000000000036
19,1049.0
20,1051.0
21,1053.0000000000036
22,1054.9999999999964
23,1057.0
24,1061.0000000000036
25,1065.0
26,1067.0
27,1069.0000000000036
28,1070.9999999999964
29,1073.0
30,1075.0
31,1077.0000000000036
32,1078.9999999999964
33,1081.0
34,1085.0000000000036
35,1086.9999999999964
36,1089.0
37,1091.0
38,1093.0000000000036
39,1094.9999999999964
40,1097.0
41,1099.0
42,1101.0
43,1102.9999999999964
44,1105.0
45,1107.0
46,1110.9999999999964
47,1115.0
48,1117.0
49,1121.0
50,1123.0
51,1125.0
52,1129.0
53,1131.0
54,1133.0
55,4003.0
56,4005.0
57,4007.0
58,4011.0
59,4012.0
60,4013.0
61,4015.0
62,4017.0
63,4019.0
64,4021.0
65,4023.0
66,4025.0
67,5001.0
68,5003.0
69,5007.0
70,5009.0
71,5011.0
72,5013.0
73,5015.0
74,5017.0
75,5019.0
76,5021.0
77,5023.0
78,5025.0
79,5027.0
80,5029.0
81,5031.0
82,5037.0
83,5039.0
84,5041.0
85,5043.0
86,5045.0
87,5047.0
88,5049.0
89,5051.0
90,5055.0
91,5057.0
92,5061.0
93,5063.0
94,5065.0
95,5069.0
96,5071.0
97,5073.0
98,5077.0
99,5081.0
100,5083.0
101,5085.0
102,5087.0
103,5089.0
104,5091.0
105,5093.0
106,5095.0
107,5097.0
108,5101.0
109,5103.0
110,5105.0
111,5107.0
112,5109.0
113,5113.0
114,5117.0
115,5119.0
116,5121.0
117,5125.0
118,5127.0
119,5129.0
120,5131.0
121,5135.0
122,5137.0
123,5139.0
124,5141.0
125,5143.0
126,5145.0
127,5147.0
128,5149.0
129,6001.0
130,6003.0
131,6005.0
132,6007.0
133,6009.0
134,6011.0
135,6013.0
136,6015.0
137,6017.0
138,6021.0
139,6025.0
140,6027.0
141,6031.0
142,6037.0
143,6039.0
144,6043.0
145,6045.0
146,6047.0
147,6049.0
148,6051.0
149,6053.0
150,6055.0
151,6057.0
152,6059.0
153,6061.0
154,6063.0
155,6065.0
156,6067.0
157,6071.0
158,6073.0
159,6075.0
160,6077.0
161,6079.0
162,6081.0
163,6083.0
164,6085.0
165,6093.0
166,6095.0
167,6097.0
168,6099.0
169,6101.0
170,6103.0
171,6105.0
172,6107.0
173,6109.0
174,6111.0
175,6113.0
176,6115.0
177,8001.0
178,8003.0
179,8011.0
180,8013.0
181,8014.0
182,8017.0
183,8019.0
184,8025.0
185,8027.0
186,8029.0
187,8031.0
188,8033.0
189,8035.0
190,8043.0
191,8045.0
192,8047.0
193,8049.0
194,8051.0
195,8053.0
196,8055.0
197,8057.0
198,8061.0
199,8063.0
200,8065.0
201,8067.0
202,8071.0
203,8073.0
204,8075.0
205,8077.0
206,8079.0
207,8085.0
208,8087.0
209,8093.0
210,8095.0
211,8097.0
212,8103.0
213,8105.0
214,8107.0
215,8109.0
216,8113.0
217,8115.0
218,8117.0
219,8119.0
220,8121.0
221,8123.0
222,9005.0
223,9007.0
224,9009.0
225,9011.0
226,9013.0
227,10001.0
228,10003.0
229,10005.0
230,11001.0
231,12001.0
232,12003.0
233,12007.0
234,12009.0
235,12011.0
236,12015.0
237,12017.0
238,12019.0
239,12021.0
240,12023.0
241,12027.0
242,12029.0
243,12031.0
244,12033.0
245,12035.0
246,12037.0
247,12039.0
248,12041.0
249,12043.0
250,12047.0
251,12049.0
252,12051.0
253,12057.0
254,12059.0
255,12061.0
256,12063.0
257,12065.0
258,12067.0
259,12069.0
260,12071.0
261,12073.0
262,12075.0
263,12077.0
264,12079.0
265,12085.0
266,12086.0
267,12087.0
268,12089.0
269,12091.0
270,12093.0
271,12095.0
272,12097.0
273,12101.0
274,12103.0
275,12105.0
276,12109.0
277,12113.0
278,12117.0
279,12119.0
280,12121.0
281,12125.0
282,12127.0
283,12131.0
284,13000.999999999998
285,13003.0
286,13004.999999999998
287,13011.0
288,13012.999999999998
289,13015.0
290,13016.999999999998
291,13019.0
292,13023.0
293,13024.999999999998
294,13027.0
295,13028.999999999998
296,13031.0
297,13032.999999999998
298,13035.0
299,13037.000000000002
300,13039.0
301,13043.0
302,13045.000000000002
303,13047.0
304,13049.000000000002
305,13053.000000000002
306,13055.0
307,13059.0
308,13061.000000000002
309,13063.0
310,13065.000000000002
311,13069.000000000002
312,13071.0
313,13073.0
314,13075.0
315,13077.0
316,13079.0
317,13081.0
318,13083.0
319,13085.0
320,13087.0
321,13089.0
322,13091.0
323,13093.0
324,13094.999999999998
325,13097.0
326,13098.999999999998
327,13101.0
328,13105.0
329,13106.999999999998
330,13109.0
331,13110.999999999998
332,13113.0
333,13114.999999999998
334,13118.999999999998
335,13121.0
336,13122.999999999998
337,13125.0
338,13126.999999999998
339,13129.0
340,13131.000000000002
341,13133.0
342,13135.000000000002
343,13137.0
344,13139.000000000002
345,13141.0
346,13143.000000000002
347,13145.0
348,13147.000000000002
349,13149.0
350,13151.000000000002
351,13155.000000000002
352,13157.0
353,13159.000000000002
354,13161.0
355,13163.000000000002
356,13165.0
357,13167.000000000002
358,13169.0
359,13171.0
360,13173.0
361,13175.0
362,13177.0
363,13179.0
364,13183.0
365,13187.0
366,13188.999999999998
367,13191.0
368,13192.999999999998
369,13195.0
370,13196.999999999998
371,13200.999999999998
372,13204.999999999998
373,13207.0
374,13208.999999999998
375,13211.0
376,13212.999999999998
377,13215.0
378,13216.999999999998
379,13219.0
380,13220.999999999998
381,13223.0
382,13224.999999999998
383,13227.0
384,13231.0
385,13235.0
386,13237.000000000002
387,13239.0
388,13243.0
389,13247.0
390,13251.0
391,13257.000000000002
392,13259.0
393,13267.0
394,13269.0
395,13271.0
396,13273.0
397,13279.0
398,13281.0
399,13282.999999999998
400,13285.0
401,13286.999999999998
402,13289.0
403,13290.999999999998
404,13293.0
405,13294.999999999998
406,13297.0
407,13298.999999999998
408,13301.0
409,13302.999999999998
410,13305.0
411,13309.0
412,13313.0
413,13314.999999999998
414,13317.0
415,13318.999999999998
416,13321.0
417,16001.0
418,16005.0
419,16009.0
420,16013.0
421,16015.0
422,16021.0
423,16023.0
424,16025.0
425,16031.0
426,16033.0
427,16035.0
428,16037.0
429,16039.0
430,16041.0
431,16043.0
432,16045.0
433,16047.0
434,16049.0
435,16051.0
436,16053.0
437,16055.0
438,16057.0
439,16059.0
440,16061.0
441,16065.0
442,16067.0
443,16069.0
444,16071.0
445,16073.0
446,16075.0
447,16077.0
448,16079.0
449,16081.0
450,16083.0
451,16085.0
452,16087.0
453,17001.0
454,17003.0
455,17005.0
456,17007.0
457,17009.0
458,17011.0
459,17015.0
460,17017.0
461,17019.0
462,17021.0
463,17023.0
464,17027.0
465,17029.0
466,17031.0
467,17035.0
468,17037.0
469,17039.0
470,17041.0
471,17043.0
472,17045.0
473,17047.0
474,17051.0
475,17057.0
476,17061.0
477,17063.0
478,17065.0
479,17067.0
480,17073.0
481,17075.0
482,17077.0
483,17079.0
484,17081.0
485,17083.0
486,17085.0
487,17087.0
488,17089.0
489,17091.0
490,17093.0
491,17097.0
492,17099.0
493,17103.0
494,17105.0
495,17107.0
496,17109.0
497,17111.0
498,17115.0
499,17117.0
500,17119.0
501,17123.0
502,17125.0
503,17127.0
504,17133.0
505,17135.0
506,17137.0
507,17141.0
508,17147.0
509,17149.0
510,17151.0
511,17153.0
512,17161.0
513,17163.0
514,17167.0
515,17169.0
516,17173.0
517,17175.0
518,17177.0
519,17179.0
520,17181.0
521,17183.0
522,17185.0
523,17191.0
524,17193.0
525,17195.0
526,17199.0
527,17201.0
528,17203.0
529,18001.0
